"Table","Entity","Property","Column","Decorator","Type","Nullable","File"
"air_asset_tasks","AirAssetTask","droneModelId","drone_model_id","Column","uuid","true","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","id","id","PrimaryGeneratedColumn","uuid","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","name","name","Column","varchar","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","note","note","Column","text","true","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","plannedEndAt","planned_end_at","Column","timestamp","true","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","plannedStartAt","planned_start_at","Column","timestamp","true","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","status","status","Column","varchar","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","taskType","task_type","Column","varchar","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","unitId","unit_id","Column","uuid","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","updatedAt","updated_at","UpdateDateColumn","","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","warheadTypeId","warhead_type_id","Column","uuid","true","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_warhead_stock","AirAssetWarheadStock","airAssetPositionId","air_asset_position_id","Column","uuid","","backend\src\drone-logistics\air-asset-warhead-stock.entity.ts"
"air_asset_warhead_stock","AirAssetWarheadStock","createdAt","created_at","CreateDateColumn","","","backend\src\drone-logistics\air-asset-warhead-stock.entity.ts"
"air_asset_warhead_stock","AirAssetWarheadStock","id","id","PrimaryGeneratedColumn","uuid","","backend\src\drone-logistics\air-asset-warhead-stock.entity.ts"
"air_asset_warhead_stock","AirAssetWarheadStock","quantity","quantity","Column","numeric","","backend\src\drone-logistics\air-asset-warhead-stock.entity.ts"
"air_asset_warhead_stock","AirAssetWarheadStock","updatedAt","updated_at","UpdateDateColumn","","","backend\src\drone-logistics\air-asset-warhead-stock.entity.ts"
"air_asset_warhead_stock","AirAssetWarheadStock","warheadTypeId","warhead_type_id","Column","uuid","","backend\src\drone-logistics\air-asset-warhead-stock.entity.ts"
"air_recon_area_points","AirReconAreaPoint","areaId","area_id","Column","uuid","","backend\src\air-assets\air-recon-area-point.entity.ts"
"air_recon_area_points","AirReconAreaPoint","createdAt","created_at","CreateDateColumn","","","backend\src\air-assets\air-recon-area-point.entity.ts"
"air_recon_area_points","AirReconAreaPoint","id","id","PrimaryGeneratedColumn","uuid","","backend\src\air-assets\air-recon-area-point.entity.ts"
"air_recon_area_points","AirReconAreaPoint","lat","lat","Column","double precision","","backend\src\air-assets\air-recon-area-point.entity.ts"
"air_recon_area_points","AirReconAreaPoint","lng","lng","Column","double precision","","backend\src\air-assets\air-recon-area-point.entity.ts"
"air_recon_area_points","AirReconAreaPoint","pointOrder","point_order","Column","int","","backend\src\air-assets\air-recon-area-point.entity.ts"
"air_recon_areas","AirReconArea","activeDate","active_date","Column","date","","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","airAssetPositionId","air_asset_position_id","Column","uuid","","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","createdAt","created_at","CreateDateColumn","","","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","id","id","PrimaryGeneratedColumn","uuid","","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","name","name","Column","varchar","true","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","note","note","Column","text","true","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","plannedEndAt","planned_end_at","Column","timestamp","true","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","plannedStartAt","planned_start_at","Column","timestamp","true","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","status","status","Column","varchar","","backend\src\air-assets\air-recon-area.entity.ts"
"air_recon_areas","AirReconArea","updatedAt","updated_at","UpdateDateColumn","","","backend\src\air-assets\air-recon-area.entity.ts"
"air_threats","AirThreat","createdAt","created_at","CreateDateColumn","","","backend\src\air-threats\air-threat.entity.ts"
"air_threats","AirThreat","id","id","PrimaryGeneratedColumn","uuid","","backend\src\air-threats\air-threat.entity.ts"
"air_threats","AirThreat","isActive","is_active","Column","boolean","","backend\src\air-threats\air-threat.entity.ts"
"air_threats","AirThreat","lat","lat","Column","double precision","","backend\src\air-threats\air-threat.entity.ts"
"air_threats","AirThreat","lng","lng","Column","double precision","","backend\src\air-threats\air-threat.entity.ts"
"air_threats","AirThreat","removedAt","removed_at","Column","timestamp","true","backend\src\air-threats\air-threat.entity.ts"
"air_threats","AirThreat","threatType","threat_type","Column","varchar","","backend\src\air-threats\air-threat.entity.ts"
"app_settings","AppSetting","updatedAt","updated_at","UpdateDateColumn","","","backend\src\settings\app-setting.entity.ts"
"app_settings","AppSetting","value","value","Column","text","","backend\src\settings\app-setting.entity.ts"
